id,log_lcot,housing,tpi,slope,vrm,daynight
10F,0.824381321,15.97809821,-1.307764036,-1.988349766,-0.912823155,0
10F,0.826489458,15.97809821,-1.307764036,-1.98829173,-0.91336906,0
10F,0.899905429,12.27019594,-0.547580572,-1.827616962,-0.818078968,0
10F,0.912465709,10.70942626,-0.737626438,-1.423799724,-0.822745393,0
10F,0.946769482,8.019649594,-0.927672304,-1.661729449,-0.880671836,0
10F,0.951112929,6.245757029,-0.167488841,-0.711440907,-0.770680361,0
10F,0.953119446,6.833969996,-1.11771817,-1.420263588,-0.86959844,0
10F,0.955674858,6.994009111,-1.307764036,-1.659071593,-0.882302057,0
10F,0.957598976,6.940533617,-0.737626438,-1.308020487,-0.798285163,0
10F,0.958287386,6.940533617,-0.927672304,-1.37740536,-0.75115403,0
10F,0.958366594,6.951607352,-1.307764036,-1.823319781,-0.89557921,0
10F,0.960627198,5.899255583,-0.927672304,-1.232121689,-0.816519726,0
10F,0.963304352,5.968124206,-0.737626438,-1.326312137,-0.808838826,0
10F,0.966120523,6.646953896,-0.167488841,-0.685521094,-0.694494639,0
10F,0.967406227,6.651097613,-1.307764036,-1.85742381,-0.903413416,0
10F,0.971781823,8.036028049,-1.11771817,-1.551802226,-0.878244262,0
10F,0.972309562,6.651097613,-1.307764036,-1.949726966,-0.902999942,0
10F,0.973110253,6.940533617,-0.927672304,-1.457228751,-0.834414324,0
10F,0.973114419,5.534597075,-1.11771817,-1.602804557,-0.904555377,0
10F,0.975549254,5.534597075,-1.11771817,-1.591621058,-0.90374972,0
10F,0.977536253,6.245757029,-0.167488841,-0.742302001,-0.744643739,0
10F,0.977839003,5.675419602,-0.737626438,-1.011779749,-0.853103352,0
10F,0.980734947,5.707361955,-1.307764036,-1.752610086,-0.89024333,0
10F,0.981087963,6.251563143,-0.547580572,-0.708195807,-0.630659434,0
10F,0.981481698,4.78506778,1.923015683,-0.64264567,0.777696405,0
10F,0.981772302,5.936560489,-1.11771817,-0.88611504,-0.86983848,0
10F,0.983420611,5.550981532,-0.737626438,-0.652301584,-0.837304646,0
10F,0.9870998,5.561300723,-0.547580572,-0.474999074,-0.641349781,0
10F,0.988670054,6.047673742,-0.737626438,-0.340427569,-0.738152112,0
10F,0.989345975,5.534597075,-1.307764036,-1.69476753,-0.907231521,0
10F,0.989976654,5.276737882,-1.307764036,-1.503095216,-0.88672161,0
10F,0.990071958,5.707110441,-0.737626438,-0.983653309,-0.76004069,0
10F,0.990262889,5.461860802,-0.927672304,-1.715565375,-0.881860203,0
10F,0.993819032,4.720105545,-1.307764036,-1.516840701,-0.892798621,0
10F,0.994749907,5.936560489,-0.927672304,-1.12645606,-0.768160379,0
10F,0.995017876,5.089516096,-1.11771817,-1.499066865,-0.875111907,0
10F,0.995141201,5.899255583,-1.307764036,-0.979710421,-0.887445591,0
10F,0.995675782,5.284216758,-1.11771817,-1.596151708,-0.899843071,0
10F,0.996682681,4.15468411,-1.307764036,-1.218269086,-0.878584294,0
10F,0.996960353,3.639611149,-1.11771817,-1.714067204,-0.896456192,0
10F,0.998565055,5.617367198,-0.737626438,-1.33940056,-0.741455143,0
10F,0.999307904,4.364405539,-0.167488841,-1.426112887,-0.69537849,0
10F,0.999758379,5.936560489,-0.737626438,-1.468567142,-0.811601322,0
10F,1.00129627,3.848693971,-0.357534707,-1.174025947,-0.455365406,0
10F,1.002004799,3.16676645,-0.737626438,-1.081054271,-0.729654485,0
10F,1.002386581,3.694409685,-1.11771817,-1.339322855,-0.827870444,0
10F,1.00312932,4.558597716,-1.307764036,-1.677656574,-0.911576624,0
10F,1.004726293,4.090678557,-1.11771817,-1.261009077,-0.828787908,0
10F,1.004789813,4.511264962,-0.737626438,-1.526631531,-0.685185575,0
10F,1.006089819,4.765261415,-0.737626438,-0.248704336,-0.665765845,0
10F,1.006551496,3.838983926,0.022557025,0.061417385,-0.653956439,0
10F,1.007393731,3.087985098,0.022557025,0.438059967,-0.608956963,0
10F,1.00755558,3.661903197,-0.357534707,-0.556110149,-0.75562987,0
10F,1.008105706,3.694409685,-1.11771817,-1.270018531,-0.825673072,0
10F,1.008207898,3.835303684,0.212602891,0.116620413,-0.727710528,0
10F,1.008848052,5.128804202,-0.547580572,-0.879448098,-0.311954816,0
10F,1.009574812,4.109102683,-0.357534707,-1.040960047,-0.789308459,0
10F,1.011294597,3.70296991,-0.547580572,-0.120831837,-0.769266528,0
10F,1.011984293,3.694409685,-1.11771817,-1.051909916,-0.815966959,0
10F,1.012862067,3.16676645,-1.11771817,-1.118095393,-0.768921014,0
10F,1.0131777,4.511264962,-0.927672304,-1.340941074,-0.875221897,0
10F,1.013214735,3.758652567,-1.11771817,-1.519599081,-0.88675,0
10F,1.013254941,3.341243921,-0.737626438,-0.04532001,-0.812689675,0
10F,1.013699241,2.795763064,-0.737626438,0.740406972,-0.771215435,0
10F,1.014729657,2.70735705,-0.927672304,-1.017883624,-0.78479307,0
10F,1.015751884,3.294633521,-0.357534707,-1.114316318,-0.525767947,0
10F,1.015838947,3.377836293,-1.11771817,-1.362504975,-0.866930468,0
10F,1.016293832,3.741368168,-0.737626438,-1.292663572,-0.839684295,0
10F,1.016766737,3.16676645,-0.737626438,-1.756457169,-0.620756549,0
10F,1.017543267,4.645964391,-0.737626438,-0.208835856,-0.825772274,0
10F,1.01762117,2.492566865,0.022557025,-0.083537949,-0.670503296,0
10F,1.01844498,3.838983926,-1.307764036,-0.099312736,-0.849998265,0
10F,1.018965423,3.694409685,-1.11771817,-0.825568503,-0.807598404,0
10F,1.018973133,3.838983926,-0.357534707,-0.065576834,-0.716293939,0
10F,1.019656574,3.557683408,-1.307764036,-1.20416779,-0.867136161,0
10F,1.020412506,4.090678557,-0.927672304,-1.153881285,-0.764543626,0
10F,1.020729923,4.021300086,-0.737626438,-1.310739368,-0.873067503,0
10F,1.020864179,4.039306293,-0.167488841,-0.670385009,-0.480972532,0
10F,1.021088797,3.835303684,0.212602891,0.243112202,-0.743509123,0
10F,1.021199408,4.204479361,-0.737626438,-0.768095625,-0.746077748,0
10F,1.021286188,3.437892357,-0.357534707,-0.566152388,-0.793811852,0
10F,1.022184562,2.663082299,-1.307764036,-1.729180372,-0.910762321,0
10F,1.022263668,2.524612061,-0.357534707,-0.741262623,-0.58363558,0
10F,1.022538862,3.294633521,-1.11771817,-1.320917299,-0.850565885,0
10F,1.022602603,3.240152515,-0.927672304,-1.146711462,-0.869742096,0
10F,1.022609213,3.428914213,-1.11771817,-0.240329318,-0.837296465,0
10F,1.0226555,3.571134529,-1.307764036,-1.339656816,-0.877254022,0
10F,1.022764106,2.150991232,0.402648757,-1.173570839,-0.153641824,0
10F,1.023014783,3.661903197,-0.927672304,0.077711796,-0.783149129,0
10F,1.023050911,3.040861848,0.972786354,-0.477752218,-0.438889434,0
10F,1.025352751,2.663082299,-1.307764036,-1.713268309,-0.910362836,0
10F,1.025451115,4.15468411,-0.737626438,-0.878650237,-0.850749821,0
10F,1.025502611,1.675803247,-0.927672304,-1.734242703,-0.884825738,0
10F,1.025597445,2.017929375,-0.167488841,-0.253011182,-0.680703887,0
10F,1.026147376,2.634574675,-0.737626438,-1.036658244,-0.690016135,0
10F,1.026279958,2.21948722,-1.11771817,-1.491943846,-0.891846313,0
10F,1.026993011,3.74057025,-0.927672304,-1.732162039,-0.879229926,0
10F,1.02726805,3.585890142,-0.737626438,-0.688625007,-0.734698926,0
10F,1.027644742,2.594159664,-0.737626438,1.110777858,-0.713754647,0
10F,1.027720953,2.474640859,-0.547580572,-0.605082984,-0.674821306,0
10F,1.027996308,2.492566865,-0.737626438,-0.023840602,-0.732201705,0
10F,1.02893392,2.524612061,-0.547580572,-1.168038693,-0.55244667,0
10F,1.02898966,2.872853377,-1.307764036,-1.495770243,-0.888393191,0
10F,1.029100571,2.979833552,-1.307764036,-1.499815401,-0.894009181,0
10F,1.029144404,2.751237344,-0.357534707,-0.126204307,-0.572311548,0
10F,1.029493972,2.371952526,-0.167488841,-0.426705928,-0.548652069,0
10F,1.030194843,3.694409685,-0.547580572,-0.56809319,-0.752742385,0
10F,1.032285824,1.808476374,-0.357534707,-0.856864665,-0.566090342,0
10F,1.03283647,2.443699927,0.022557025,-0.249462116,-0.565062722,0
10F,1.033620361,2.767075397,-0.737626438,-1.003928751,-0.813020365,0
10F,1.033728169,2.163503128,0.212602891,-0.449987408,-0.008003394,0
10F,1.033787331,3.087103978,-0.737626438,-0.175471152,-0.660037201,0
10F,1.034250427,3.681198349,-0.737626438,-1.116943079,-0.849744048,0
10F,1.034528432,1.134528985,1.16283222,-0.1384864,-0.072119503,0
10F,1.035746417,2.402964111,-0.547580572,-0.610601425,-0.665521321,0
10F,1.035828645,3.684824033,-0.927672304,-0.100052415,-0.818453761,0
10F,1.03605718,2.344145979,0.022557025,0.105740491,-0.642618095,0
10F,1.036269291,1.495495112,-0.927672304,0.230245322,-0.814042618,0
10F,1.036404522,0.992166954,-0.167488841,0.249689545,-0.595574885,0
10F,1.036415722,1.434495595,3.253336743,0.16843961,2.110272706,0
10F,1.036806024,2.651197007,-1.307764036,-1.659617109,-0.906179007,0
10F,1.036886832,2.660439486,-0.547580572,-0.461951443,-0.69995138,0
10F,1.037128133,2.324357073,-0.167488841,-0.497842643,-0.710975545,0
10F,1.037411206,0.767718827,-0.547580572,-1.468586342,-0.74003201,0
10F,1.037657002,1.30529075,-1.11771817,-1.576742394,-0.863614472,0
10F,1.037721775,1.595937271,-0.737626438,-1.251013836,-0.737221068,0
10F,1.037810334,2.103196094,-0.547580572,-1.474775744,-0.752240176,0
10F,1.037889532,2.387034945,-0.737626438,-0.583542679,-0.638683586,0
10F,1.038016589,1.740823723,0.212602891,-0.681878809,-0.467757347,0
10F,1.038074834,2.402964111,0.022557025,-0.707958168,-0.508054775,0
10F,1.039038661,3.294633521,-1.11771817,-1.00763775,-0.825592707,0
10F,1.039401832,2.21948722,-1.11771817,-1.608975147,-0.890963613,0
10F,1.039461665,0.846231889,-0.737626438,0.364655212,-0.698288877,0
10F,1.039775562,1.434495595,1.542923951,0.294307696,0.97689959,0
