id,log_mmr,housing,tpi,slope,vrm,daynight
10F,1.373704731,-0.418512083,0.212602891,-0.029267763,-0.293048582,1
10F,1.37232549,-0.418512083,0.212602891,0.008181664,-0.265461245,1
10F,1.372483566,-0.418512083,-0.357534707,1.890040112,0.054626942,1
10F,1.369874537,-0.418512083,-0.737626438,1.211776369,-0.163024988,1
10F,1.387667057,-0.418512083,1.732969817,1.294480063,0.344017346,1
10F,1.495878498,-0.418512083,0.212602891,0.272171872,0.249190782,1
10F,1.492626762,-0.418512083,0.592694622,-1.144826578,0.021775056,1
10F,1.526534208,-0.418512083,2.49315328,1.780729159,1.77475089,0
10F,1.519086837,-0.418512083,1.352878086,1.977150077,1.012827496,0
10F,1.514661409,-0.418512083,1.352878086,1.82264278,0.811785395,0
10F,1.510296991,-0.418512083,1.16283222,0.786802112,1.043145969,0
10F,1.506701187,-0.418512083,0.402648757,1.617253394,-0.239736846,0
10F,1.499055779,-0.418512083,-0.547580572,2.710217076,-0.691457962,0
10F,1.506053749,-0.418512083,0.212602891,2.22799465,-0.337952285,0
10F,1.52615819,-0.418512083,2.113061549,2.014957125,0.748589501,0
10F,1.504265261,-0.418512083,0.212602891,2.35766211,-0.561733682,0
10F,1.50994289,-0.418512083,0.592694622,1.636732785,0.146059398,0
10F,1.495114291,-0.418512083,-0.927672304,1.488678451,-0.621595209,0
10F,1.498268083,-0.418512083,-0.357534707,1.039137422,-0.47831157,0
10F,1.500143821,-0.418512083,-0.357534707,1.68420441,-0.734970451,0
10F,1.509553719,-0.418512083,0.782740488,1.345462742,0.053654458,0
10F,1.504057345,-0.418512083,0.972786354,-0.246840721,0.571585463,0
10F,1.500717729,-0.418512083,0.972786354,-1.171917001,0.565173152,0
10F,1.503609823,-0.418512083,0.972786354,-1.003737399,0.660568679,0
10F,1.379353683,-0.418512083,0.402648757,-1.194154578,0.169039609,0
10F,1.382658291,-0.418512083,0.402648757,-0.205775515,0.029723013,0
10F,1.387455354,-0.418512083,0.972786354,2.1841688,0.546624726,1
10F,1.3838582,-0.418512083,0.782740488,1.395732246,0.161584955,1
10F,1.376894928,-0.418512083,0.212602891,0.710015854,0.0068085,1
10F,1.376339233,-0.418512083,0.212602891,1.189235603,0.088027614,1
10F,1.378055619,-0.418512083,0.402648757,1.208621128,0.000972214,1
10F,1.373423602,-0.418512083,-0.357534707,1.736756434,-0.250625139,1
10F,1.393085675,-0.418512083,2.113061549,1.174222475,1.490285195,1
10F,1.375944607,-0.418512083,0.022557025,1.962276843,-0.50952425,1
10F,1.486025978,-0.418512083,-1.11771817,1.457278597,-0.767976777,1
10F,1.496127258,-0.418512083,0.402648757,0.668065256,-0.34277769,1
10F,1.494214069,-0.418512083,0.592694622,-0.545551389,0.594180186,1
10F,1.495371694,-0.418512083,0.592694622,-0.145064389,-0.103256996,1
10F,1.377401802,-0.418512083,-0.357534707,0.568790466,-0.654430291,0
10F,1.3772441,-0.418512083,-0.357534707,0.19636332,-0.46731606,0
10F,1.376972154,-0.418512083,-0.927672304,0.785960938,-0.744575314,0
10F,1.38282536,-0.418512083,0.402648757,-0.099346481,0.013528432,0
10F,1.38504744,-0.418512083,0.782740488,0.056675213,0.655161512,0
10F,1.388183645,-0.418512083,0.592694622,0.594707822,0.352598198,0
10F,1.38664528,-0.418512083,0.402648757,1.229763989,-0.557883093,0
10F,1.380396945,-0.418512083,-0.167488841,1.16682568,-0.438696406,0
10F,1.383028824,-0.418512083,-0.167488841,2.054920247,-0.161720294,0
10F,1.518973958,-0.418512083,1.352878086,2.536576891,0.137146777,0
10F,1.508299305,-0.418512083,0.402648757,1.930374301,0.203103126,0
10F,1.518255415,-0.418512083,1.352878086,1.905493867,0.361701609,0
10F,1.503205936,-0.418512083,0.022557025,2.145622719,-0.543528216,0
10F,1.51054556,-0.418512083,0.972786354,1.062437132,0.663897719,0
10F,1.38898809,-0.418512083,0.972786354,0.422529671,0.88788157,0
10F,1.385188729,-0.418512083,0.212602891,1.211995907,-0.458530422,0
